codigo,clase,stock_inicial,stock_promedio,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock_actual,probabilidad_agotamiento,nivel_riesgo
931515,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
4213955,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
778390,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
166805,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
922619,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
4216903,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
906691,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
788370,Baja,28,28.44,1.0,1.0,1.0,0.0,0.0139,25,0.0,BAJO
165819,Baja,18,18.73,1.0,1.0,1.0,0.0,0.0139,13,0.0,BAJO
155,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
922538,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
939476,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
621634,Media,16,17.99,1.0,1.0,1.0,0.0,0.0556,12,0.0,BAJO
904895,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
908668,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
785610,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
778553,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
908847,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
935977,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
165429,Baja,14,14.18,1.0,1.0,1.0,0.0,0.0139,7,0.0,BAJO
616783,Baja,21,21.42,1.0,1.0,1.0,0.0,0.0139,16,0.0,BAJO
168103,Baja,229,218.01,1.0,1.0,1.0,83.5,0.0417,209,0.0,BAJO
780119,Baja,24,23.92,0.0,0.0,0.0,1.0,0.0139,19,0.0,BAJO
167798,Baja,14,14.41,1.0,1.0,1.0,0.0,0.0139,11,0.0,BAJO
786487,Baja,26,27.23,1.0,1.0,1.0,0.0,0.0278,13,0.0,BAJO
167666,Baja,20,20.56,1.0,1.0,1.0,0.0,0.0139,14,0.0,BAJO
169651,Baja,19,19.68,1.0,1.0,1.0,0.0,0.0139,13,0.0,BAJO
548306,Baja,53,52.29,0.0,0.0,0.0,1.0,0.0139,48,0.0,BAJO
780255,Baja,25,25.77,1.0,1.0,1.0,1.0,0.0278,14,0.0,BAJO
166782,Baja,18,18.99,1.0,1.0,1.0,0.0,0.0139,9,0.0,BAJO
621606,Baja,15,16.22,1.0,1.0,1.0,0.0,0.0278,3,0.0,BAJO
782017,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
939858,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
789618,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
169560,Muerto,20,20.0,0.0,0.0,0.0,0.0,0.0,20,0.0,BAJO
166431,Muerto,17,17.0,0.0,0.0,0.0,0.0,0.0,17,0.0,BAJO
169276,Baja,33,33.21,1.0,1.0,1.0,0.0,0.0139,31,0.0,BAJO
4220365,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
927743,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
778332,Baja,33,32.59,0.0,0.0,0.0,1.0,0.0139,26,0.0,BAJO
786483,Baja,26,26.38,1.0,1.0,1.0,0.0,0.0139,19,0.0,BAJO
167816,Baja,30,29.63,1.0,1.0,1.0,22.0,0.0417,19,0.0,BAJO
611589,Media,18,19.37,1.0,1.0,1.0,0.0,0.0556,17,0.0,BAJO
936200,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
4219496,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
778719,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
925255,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
792364,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
910132,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
790495,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
792051,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
918750,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
780479,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
782267,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
785388,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
936929,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
790049,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
921254,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
168107,Media,205,198.9,1.2,1.0,2.0,47.67,0.1806,98,0.0,BAJO
168983,Media,51,47.82,1.0,1.0,1.0,13.0,0.125,19,0.0,BAJO
926418,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
778725,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
780049,Media,29,29.45,1.0,1.0,1.0,1.0,0.0556,10,0.0,BAJO
4219087,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
782421,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
930156,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
908854,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
905102,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
169722,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
167944,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
909111,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
921302,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
4211260,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
777858,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
780780,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
925694,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
168699,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
623294,Media,16,19.23,1.0,1.0,1.0,0.0,0.0556,9,0.0,BAJO
936821,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
4216904,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
939387,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
935193,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
4214178,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
930354,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
929044,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
903917,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
785507,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
4212252,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
907890,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
937463,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
781994,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
909983,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
925606,Muerto,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,BAJO
