codigo,fecha,stock_actual,agotado_30d,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,probabilidad_agotamiento
623355.0,2026-12-01,12,0,1,12,1.33,1,2,0,0.0417,0.00012747717065071627
168327.0,2026-12-01,14,0,1,26,1.0,1,1,8,0.0417,0.0
788038.0,2026-12-01,0,0,0,4,1.5,1,5,2,0.2778,0.4761814701991301
623400.0,2026-12-01,14,0,1,17,1.5,1,2,0,0.0278,0.00015647420621124297
788026.0,2026-12-01,0,0,2,15,2.0,1,3,2,0.0694,0.027263490483051447
623428.0,2026-12-01,27,0,1,38,1.0,1,1,0,0.0278,0.0
788025.0,2026-12-01,7,0,1,15,1.0,1,1,0,0.0278,0.0
623476.0,2026-12-01,8,0,2,18,1.0,1,1,1,0.125,0.03279061634828047
623508.0,2026-12-01,10,0,1,29,1.0,1,1,1,0.0417,0.0
787984.0,2026-12-01,70,0,0,75,1.16,1,2,10,0.375,0.0007639600045035003
168302.0,2026-12-01,28,0,2,36,1.6,1,3,14,0.1111,0.00036764979809604905
166259.0,2026-12-01,1,1,2,6,1.2,1,2,2,0.1389,0.9417542774563834
188447.0,2026-12-01,40,0,1,43,1.0,1,1,0,0.0139,0.0
2023808.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
6271.0,2026-12-01,34,0,0,67,1.33,1,3,8,0.4167,0.026571021555016276
6290.0,2026-12-01,29,0,0,31,1.33,1,3,6,0.2361,0.08487845420279184
787939.0,2026-12-01,12,1,0,45,2.1,1,6,8,0.25,0.9098613705507559
6340.0,2026-12-01,5,0,2,8,1.0,1,1,1,0.0556,0.000605827771835484
787833.0,2026-12-01,0,0,0,12,1.5,1,4,3,0.3056,0.25524390451069146
6412.0,2026-12-01,11,1,0,19,2.2,1,5,5,0.2361,0.9313269917353453
168295.0,2026-12-01,5,0,2,15,1.0,1,1,1,0.1389,0.4419876069953759
787790.0,2026-12-01,0,0,0,243,6.42,1,28,38,0.7361,0.02531959435556856
6605.0,2026-12-01,176,1,0,228,5.17,1,23,28,0.6806,0.6904234205241019
787734.0,2026-12-01,6,1,2,14,1.83,1,5,2,0.1389,0.6847005784236786
788109.0,2026-12-01,0,1,0,4,2.1,1,6,2,0.3472,0.39484325005919246
623046.0,2026-12-01,0,1,0,7,1.73,1,4,3,0.2778,0.16930342143436214
788432.0,2026-12-01,20,0,1,27,1.0,1,1,0,0.0278,0.0
788113.0,2026-12-01,0,0,2,6,1.0,1,1,0,0.0556,0.0
2023813.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
933924.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
621774.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
788387.0,2026-12-01,25,0,1,31,1.0,1,1,0,0.0139,0.0
622714.0,2026-12-01,81,1,0,54,2.79,1,13,12,0.625,0.9355346725430755
168457.0,2026-12-01,20,0,3,20,0.0,0,0,0,0.0,0.0
