codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
352169.0,0,210,8.02,1,65,86,0.8194,66,0.9978226663542118
787790.0,0,243,6.42,1,28,38,0.7361,73,0.9969492982393434
784953.0,0,31,4.22,1,22,10,0.2083,6,0.9968332791088835
784665.0,0,102,7.27,1,82,19,0.3472,36,0.9910732385503808
786591.0,2,16,4.5,1,13,5,0.1944,10,0.990250260863754
616092.0,0,105,4.48,1,26,17,0.6667,148,0.9878900389558445
785147.0,2,3,2.0,1,6,3,0.1806,4,0.982832603654049
623273.0,0,17,1.33,1,4,1,0.2639,8,0.9824268926679772
779673.0,0,6,1.9,1,5,1,0.2361,3,0.9811366926134376
7811.0,0,6,1.27,1,3,1,0.2361,3,0.979963350540207
7823.0,2,6,1.88,1,7,2,0.1528,6,0.9748248931672332
788038.0,0,4,1.5,1,5,2,0.2778,3,0.9627521461148985
788150.0,2,27,1.0,1,1,1,0.0556,1,0.9599527613768527
622984.0,0,12,1.38,1,6,3,0.2361,1,0.9586143217717796
165337.0,2,7,1.18,1,2,5,0.1944,4,0.9583446299192603
787833.0,0,12,1.5,1,4,3,0.3056,13,0.9561202547832787
168295.0,2,15,1.0,1,1,1,0.1389,1,0.9543138801188078
623159.0,0,25,2.12,1,10,5,0.3611,21,0.9515647731616838
6058.0,0,67,1.89,1,4,1,0.5139,2,0.948981054362916
188715.0,0,83,2.63,1,13,10,0.4167,15,0.9437094374392225
6271.0,0,67,1.33,1,3,8,0.4167,5,0.9363961598587912
168181.0,0,74,1.31,1,3,23,0.2222,5,0.9358489463382336
165004.0,0,34,1.47,1,5,4,0.3056,14,0.9348407393306962
622987.0,0,26,1.08,1,2,1,0.25,7,0.9326175085465711
779975.0,0,53,2.08,1,6,9,0.2917,8,0.9321246656382347
791779.0,0,37,1.55,1,3,6,0.25,3,0.9308384004085763
784632.0,0,12,2.46,1,7,2,0.4861,25,0.9307620566193813
621218.0,2,11,2.4,1,5,4,0.1111,3,0.925444183762415
791348.0,0,43,1.41,1,3,9,0.3194,6,0.9211785204038815
611532.0,0,25,1.38,1,2,4,0.2639,3,0.9157486693471344
611410.0,2,17,1.5,1,4,4,0.1667,6,0.9015844415047072
6340.0,2,8,1.0,1,1,1,0.0556,2,0.8897403474928324
786249.0,2,18,2.5,1,4,3,0.1667,8,0.8841947096733034
621373.0,2,19,1.71,1,5,4,0.1667,6,0.8758245976907921
622877.0,2,5,1.6,1,4,1,0.0833,1,0.860791653702212
616476.0,0,43,1.69,1,4,1,0.2778,16,0.8592802926241769
781216.0,2,17,2.25,1,5,4,0.1111,5,0.8325641664008897
621219.0,0,34,2.0,1,6,5,0.4444,29,0.8324688625309423
623355.0,1,12,1.33,1,2,0,0.0417,5,0.8200580292658146
7891.0,0,86,1.96,1,6,11,0.5278,29,0.8164320314260413
784991.0,2,12,1.4,1,3,3,0.0833,3,0.813088403798295
611517.0,2,35,1.5,1,4,6,0.1806,14,0.7528320572592826
611260.0,0,35,1.54,1,3,1,0.2222,11,0.726030095014014
6933.0,0,38,1.47,1,6,7,0.3889,35,0.6994494297969909
791793.0,0,25,2.22,1,5,4,0.2222,16,0.6972620398776453
166642.0,0,7,1.09,1,2,2,0.2083,8,0.685912078077262
779940.0,0,71,2.35,1,9,11,0.4583,51,0.6827084697163525
784778.0,2,54,5.83,1,30,21,0.125,41,0.6702466251979223
7261.0,1,22,1.0,1,1,0,0.0417,1,0.6506901750667414
6132.0,0,45,1.67,1,4,14,0.3472,22,0.6354233797676009
